DEBUG 2024-06-27 10:54:20,412 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\DLLs\unicodedata.pyd first seen with mtime 1717742879.0270452
DEBUG 2024-06-27 10:54:20,412 autoreload File C:\Users\Pavan.Pawar\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1718974244.4176743
DEBUG 2024-06-27 10:54:20,413 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\Lib\traceback.py first seen with mtime 1715853202.2903628
DEBUG 2024-06-27 10:54:20,414 autoreload File C:\Users\Pavan.Pawar\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1718974250.853447
DEBUG 2024-06-27 10:54:20,414 autoreload File C:\Users\Pavan.Pawar\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\django\db\models\utils.py first seen with mtime 1718974250.9596543
DEBUG 2024-06-27 10:54:20,415 autoreload File C:\Users\Pavan.Pawar\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\django\contrib\sites\__init__.py first seen with mtime 1718974249.7367387
DEBUG 2024-06-27 10:54:20,415 autoreload File C:\Users\Pavan.Pawar\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\django\core\cache\utils.py first seen with mtime 1718974250.3841763
DEBUG 2024-06-27 10:54:20,416 autoreload File C:\Users\Pavan.Pawar\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1718974239.590871
DEBUG 2024-06-27 10:54:20,416 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\Lib\asyncio\trsock.py first seen with mtime 1715853198.487975
DEBUG 2024-06-27 10:54:20,417 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\Lib\asyncio\constants.py first seen with mtime 1715853198.4729326
DEBUG 2024-06-27 10:54:20,417 autoreload File C:\Users\Pavan.Pawar\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\django\conf\locale\__init__.py first seen with mtime 1718974240.5375433
DEBUG 2024-06-27 10:54:20,417 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\Lib\struct.py first seen with mtime 1715853202.248487
